# 30 cm SSD, Filter 1 Backscatter Reduction Factors

# Metadata
DESCRIPTION=
SOURCE=

# Field size length
X_TITLE=Backscatter Reduction Factor
X_HEADERS=TISSUE DEPTH<br>(cm),5.0 cm \u00D8,8.0 cm \u00D8, 12.0 cm \u00D8,16.0 cm \u00D8,22.2 cm \u00D8
X_FORMAT={:.1f}
X_VALUES=5,8,12,16,22.2

# Depth in tissue
Y_TITLE=Tissue Depth<br/>(cm)
Y_HEADERS=
Y_FORMAT={:.0f}
Y_VALUES=1,2,4,7,11

# Table data
XY_FORMAT={:.1f}
XY_TYPE=NUMERIC
0.91, 0.89, 0.88, 0.86, 0.85
0.94, 0.92, 0.92, 0.90, 0.90
0.97, 0.97, 0.97, 0.95, 0.95
1.00, 1.00, 1.00, 1.00, 1.00
1.00, 1.00, 1.00, 1.00, 1.00

